Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
26,Sun,2022-02-27,14:00 (13:00),Villarreal,4.4,5–1,1.1,Espanyol,15600,Estadio de la Cerámica,Ricardo de Burgos,Match Report,
26,Sun,2022-02-27,16:15 (15:15),Sevilla,1.4,2–1,0.7,Betis,37250,Estadio Ramón Sánchez Pizjuán,Carlos del Cerro,Match Report,
26,Sun,2022-02-27,18:30 (17:30),Real Sociedad,1.0,1–0,0.4,Osasuna,30145,Estadio Municipal de Anoeta,Antonio Matéu Lahoz,Match Report,
26,Sun,2022-02-27,21:00 (20:00),Barcelona,3.1,4–0,0.3,Athletic Club,69770,Camp Nou,Guillermo Cuadra,Match Report,
26,Mon,2022-02-28,21:00 (20:00),Granada,0.2,0–0,0.7,Cádiz,14785,Estadio Nuevo Los Cármenes,José Sánchez,Match Report,
,,,,,,,,,,,,,
21,Wed,2022-03-02,21:00 (20:00),Mallorca,0.5,0–2,1.6,Real Sociedad,11550,Iberostar Estadi,Mario Melero,Match Report,
,,,,,,,,,,,,,
27,Fri,2022-03-04,21:00 (20:00),Alavés,1.4,0–0,1.2,Sevilla,13121,Estadio de Mendizorroza,Alberola Rojas,Match Report,
27,Sat,2022-03-05,14:00 (13:00),Osasuna,0.8,1–0,0.5,Villarreal,16659,Estadio El Sadar,José Luis Munuera,Match Report,
27,Sat,2022-03-05,16:15 (15:15),Espanyol,0.1,2–0,0.4,Getafe,18519,RCDE Stadium,Adrián Cordero,Match Report,
27,Sat,2022-03-05,18:30 (17:30),Valencia,1.6,3–1,0.4,Granada,31227,Estadio de Mestalla,Valentín Pizarro,Match Report,
27,Sat,2022-03-05,21:00 (20:00),Real Madrid,2.0,4–1,0.8,Real Sociedad,52410,Estadio Santiago Bernabéu,Jesús Gil,Match Report,
27,Sun,2022-03-06,14:00 (13:00),Cádiz,1.1,2–0,1.1,Rayo Vallecano,15677,Estadio Nuevo Mirandilla,César Soto,Match Report,
27,Sun,2022-03-06,16:15 (15:15),Elche,1.1,1–2,4.1,Barcelona,30146,Estadio Manuel Martínez Valero,Alejandro Hernández,Match Report,
27,Sun,2022-03-06,18:30 (17:30),Celta Vigo,2.7,4–3,1.5,Mallorca,11320,Estadio de Balaídos,Miguel Ángel Ortiz Arias,Match Report,
27,Sun,2022-03-06,21:00 (20:00),Betis,1.0,1–3,2.8,Atlético Madrid,44383,Estadio Benito Villamarín,Guillermo Cuadra,Match Report,
27,Mon,2022-03-07,21:00 (20:00),Athletic Club,3.1,3–1,0.5,Levante,29485,San Mamés,Alejandro Muñíz,Match Report,
,,,,,,,,,,,,,
28,Fri,2022-03-11,21:00 (20:00),Atlético Madrid,0.3,2–1,0.8,Cádiz,50573,Estadio Wanda Metropolitano,Pablo González,Match Report,
28,Sat,2022-03-12,14:00 (13:00),Levante,1.1,1–1,0.4,Espanyol,13407,Estadio Ciudad de Valencia,Isidro Díaz de Mera,Match Report,
28,Sat,2022-03-12,16:15 (15:15),Granada,1.4,0–1,1.2,Elche,15345,Estadio Nuevo Los Cármenes,Carlos del Cerro,Match Report,
28,Sat,2022-03-12,18:30 (17:30),Villarreal,1.3,1–0,0.8,Celta Vigo,14929,Estadio de la Cerámica,Santiago Jaime,Match Report,
28,Sat,2022-03-12,21:00 (20:00),Getafe,0.9,0–0,0.2,Valencia,10349,Coliseum Alfonso Pérez,Guillermo Cuadra,Match Report,
28,Sun,2022-03-13,14:00 (13:00),Rayo Vallecano,0.4,1–1,0.3,Sevilla,9073,Estadio del Rayo Vallecano,Juan Martínez,Match Report,
28,Sun,2022-03-13,16:15 (15:15),Betis,0.7,1–0,0.5,Athletic Club,48876,Estadio Benito Villamarín,Antonio Matéu Lahoz,Match Report,
28,Sun,2022-03-13,18:30 (17:30),Real Sociedad,2.2,1–0,0.8,Alavés,31573,Estadio Municipal de Anoeta,Jorge Figueroa,Match Report,
28,Sun,2022-03-13,21:00 (20:00),Barcelona,3.6,4–0,0.2,Osasuna,54507,Camp Nou,Ricardo de Burgos,Match Report,
28,Mon,2022-03-14,21:00 (20:00),Mallorca,1.4,0–3,1.8,Real Madrid,17191,Iberostar Estadi,José Sánchez,Match Report,
,,,,,,,,,,,,,
29,Fri,2022-03-18,21:00 (20:00),Athletic Club,2.0,1–1,0.4,Getafe,37367,San Mamés,Jesús Gil,Match Report,
29,Sat,2022-03-19,14:00 (13:00),Alavés,1.7,2–3,2.1,Granada,16209,Estadio de Mendizorroza,Guillermo Cuadra,Match Report,
29,Sat,2022-03-19,16:15 (15:15),Elche,0.6,0–1,0.9,Valencia,15780,Estadio Manuel Martínez Valero,Miguel Ángel Ortiz Arias,Match Report,
29,Sat,2022-03-19,18:30 (17:30),Osasuna,2.3,3–1,1.0,Levante,19429,Estadio El Sadar,Alberola Rojas,Match Report,
29,Sat,2022-03-19,21:00 (20:00),Rayo Vallecano,1.4,0–1,1.4,Atlético Madrid,10349,Estadio del Rayo Vallecano,José Luis Munuera,Match Report,
29,Sun,2022-03-20,14:00 (13:00),Espanyol,1.3,1–0,0.5,Mallorca,17578,RCDE Stadium,Alejandro Muñíz,Match Report,
29,Sun,2022-03-20,16:15 (15:15),Cádiz,1.7,1–0,0.2,Villarreal,13325,Estadio Nuevo Mirandilla,Alejandro Hernández,Match Report,
29,Sun,2022-03-20,16:15 (15:15),Celta Vigo,0.9,0–0,0.5,Betis,13149,Estadio de Balaídos,Ricardo de Burgos,Match Report,
29,Sun,2022-03-20,18:30 (17:30),Sevilla,0.3,0–0,1.1,Real Sociedad,24861,Estadio Ramón Sánchez Pizjuán,César Soto,Match Report,
29,Sun,2022-03-20,21:00 (20:00),Real Madrid,0.8,0–4,3.4,Barcelona,60017,Estadio Santiago Bernabéu,Juan Martínez,Match Report,
,,,,,,,,,,,,,
30,Sat,2022-04-02,14:00 (13:00),Getafe,1.7,1–0,0.4,Mallorca,8946,Coliseum Alfonso Pérez,Antonio Matéu Lahoz,Match Report,
30,Sat,2022-04-02,16:15 (15:15),Levante,2.0,2–0,1.2,Villarreal,14908,Estadio Ciudad de Valencia,Adrián Cordero,Match Report,
30,Sat,2022-04-02,18:30 (17:30),Celta Vigo,1.6,1–2,2.9,Real Madrid,15714,Estadio de Balaídos,Pablo González,Match Report,
30,Sat,2022-04-02,21:00 (20:00),Atlético Madrid,3.0,4–1,0.5,Alavés,51467,Estadio Wanda Metropolitano,Mario Melero,Match Report,
30,Sun,2022-04-03,14:00 (13:00),Athletic Club,1.9,2–1,0.5,Elche,34572,San Mamés,Jorge Figueroa,Match Report,
30,Sun,2022-04-03,16:15 (15:15),Betis,4.4,4–1,0.4,Osasuna,49103,Estadio Benito Villamarín,Valentín Pizarro,Match Report,
30,Sun,2022-04-03,18:30 (17:30),Granada,2.1,2–2,0.8,Rayo Vallecano,15823,Estadio Nuevo Los Cármenes,Alejandro Hernández,Match Report,
30,Sun,2022-04-03,18:30 (17:30),Valencia,0.2,0–0,0.1,Cádiz,32949,Estadio de Mestalla,Isidro Díaz de Mera,Match Report,
30,Sun,2022-04-03,21:00 (20:00),Barcelona,1.9,1–0,0.6,Sevilla,76112,Camp Nou,José Sánchez,Match Report,
30,Mon,2022-04-04,21:00 (20:00),Real Sociedad,2.2,1–0,0.4,Espanyol,20869,Estadio Municipal de Anoeta,Santiago Jaime,Match Report,
,,,,,,,,,,,,,
31,Fri,2022-04-08,21:00 (20:00),Sevilla,2.9,4–2,0.9,Granada,33504,Estadio Ramón Sánchez Pizjuán,Miguel Ángel Ortiz Arias,Match Report,
31,Sat,2022-04-09,14:00 (13:00),Cádiz,1.3,1–2,1.3,Betis,18063,Estadio Nuevo Mirandilla,Jesús Gil,Match Report,
31,Sat,2022-04-09,16:15 (15:15),Mallorca,1.1,1–0,0.5,Atlético Madrid,15437,Iberostar Estadi,Juan Martínez,Match Report,
31,Sat,2022-04-09,18:30 (17:30),Villarreal,1.3,1–1,1.8,Athletic Club,16603,Estadio de la Cerámica,Carlos del Cerro,Match Report,
31,Sat,2022-04-09,21:00 (20:00),Real Madrid,1.6,2–0,0.4,Getafe,50740,Estadio Santiago Bernabéu,César Soto,Match Report,
31,Sun,2022-04-10,14:00 (13:00),Osasuna,2.1,1–0,0.5,Alavés,19220,Estadio El Sadar,Alejandro Muñíz,Match Report,
31,Sun,2022-04-10,16:15 (15:15),Espanyol,1.3,1–0,0.8,Celta Vigo,18471,RCDE Stadium,Alberola Rojas,Match Report,
31,Sun,2022-04-10,18:30 (17:30),Elche,0.6,1–2,1.7,Real Sociedad,17011,Estadio Manuel Martínez Valero,Guillermo Cuadra,Match Report,
31,Sun,2022-04-10,21:00 (20:00),Levante,3.4,2–3,1.2,Barcelona,20785,Estadio Ciudad de Valencia,José Luis Munuera,Match Report,
31,Mon,2022-04-11,21:00 (20:00),Rayo Vallecano,0.6,1–1,0.5,Valencia,9302,Estadio del Rayo Vallecano,Ricardo de Burgos,Match Report,
,,,,,,,,,,,,,
32,Fri,2022-04-15,21:00 (20:00),Real Sociedad,0.9,0–0,0.5,Betis,28893,Estadio Municipal de Anoeta,Isidro Díaz de Mera,Match Report,
32,Sat,2022-04-16,14:00 (13:00),Elche,1.6,3–0,1.5,Mallorca,20257,Estadio Manuel Martínez Valero,José Sánchez,Match Report,
32,Sat,2022-04-16,16:15 (15:15),Alavés,0.5,1–0,1.0,Rayo Vallecano,10165,Estadio de Mendizorroza,Juan Martínez,Match Report,
32,Sat,2022-04-16,18:30 (17:30),Valencia,1.3,1–2,1.1,Osasuna,30148,Estadio de Mestalla,Mario Melero,Match Report,
32,Sat,2022-04-16,21:00 (20:00),Getafe,0.9,1–2,2.7,Villarreal,9657,Coliseum Alfonso Pérez,Pablo González,Match Report,
32,Sun,2022-04-17,14:00 (13:00),Granada,1.0,1–4,3.9,Levante,15323,Estadio Nuevo Los Cármenes,Valentín Pizarro,Match Report,
32,Sun,2022-04-17,16:15 (15:15),Atlético Madrid,1.2,2–1,0.7,Espanyol,54011,Estadio Wanda Metropolitano,Jorge Figueroa,Match Report,
32,Sun,2022-04-17,18:30 (17:30),Athletic Club,0.5,0–2,0.4,Celta Vigo,35541,San Mamés,Alejandro Hernández,Match Report,
32,Sun,2022-04-17,21:00 (20:00),Sevilla,0.9,2–3,1.2,Real Madrid,40629,Estadio Ramón Sánchez Pizjuán,Guillermo Cuadra,Match Report,
32,Mon,2022-04-18,21:00 (20:00),Barcelona,1.2,0–1,1.7,Cádiz,57495,Camp Nou,Santiago Jaime,Match Report,
,,,,,,,,,,,,,
33,Tue,2022-04-19,19:00 (18:00),Mallorca,0.8,2–1,0.6,Alavés,15264,Iberostar Estadi,César Soto,Match Report,
33,Tue,2022-04-19,21:00 (20:00),Betis,1.2,0–1,0.6,Elche,43257,Estadio Benito Villamarín,Alberola Rojas,Match Report,
33,Tue,2022-04-19,21:30 (20:30),Villarreal,2.4,2–0,0.3,Valencia,13570,Estadio de la Cerámica,José Luis Munuera,Match Report,
33,Wed,2022-04-20,19:00 (18:00),Atlético Madrid,1.1,0–0,0.2,Granada,43517,Estadio Wanda Metropolitano,Jesús Gil,Match Report,
33,Wed,2022-04-20,20:00 (19:00),Celta Vigo,0.4,0–2,1.1,Getafe,9934,Estadio de Balaídos,Santiago Jaime,Match Report,
33,Wed,2022-04-20,21:30 (20:30),Osasuna,1.1,1–3,4.5,Real Madrid,21360,Estadio El Sadar,Ricardo de Burgos,Match Report,
33,Thu,2022-04-21,19:00 (18:00),Levante,2.7,2–3,1.8,Sevilla,18107,Estadio Ciudad de Valencia,Isidro Díaz de Mera,Match Report,
33,Thu,2022-04-21,19:00 (18:00),Espanyol,0.4,0–1,0.6,Rayo Vallecano,11873,RCDE Stadium,Antonio Matéu Lahoz,Match Report,
33,Thu,2022-04-21,20:00 (19:00),Cádiz,3.1,2–3,1.6,Athletic Club,17360,Estadio Nuevo Mirandilla,Valentín Pizarro,Match Report,
33,Thu,2022-04-21,21:30 (20:30),Real Sociedad,0.8,0–1,1.1,Barcelona,35128,Estadio Municipal de Anoeta,Carlos del Cerro,Match Report,
,,,,,,,,,,,,,
21,Sun,2022-04-24,21:00 (20:00),Barcelona,1.7,0–1,0.3,Rayo Vallecano,57023,Camp Nou,Isidro Díaz de Mera,Match Report,
,,,,,,,,,,,,,
34,Fri,2022-04-29,21:00 (20:00),Sevilla,0.7,1–1,0.9,Cádiz,37113,Estadio Ramón Sánchez Pizjuán,José Sánchez,Match Report,
34,Sat,2022-04-30,14:00 (13:00),Alavés,2.4,2–1,1.3,Villarreal,12579,Estadio de Mendizorroza,Miguel Ángel Ortiz Arias,Match Report,
34,Sat,2022-04-30,16:15 (15:15),Real Madrid,1.8,4–0,1.3,Espanyol,58686,Estadio Santiago Bernabéu,José Luis Munuera,Match Report,
34,Sat,2022-04-30,18:30 (17:30),Valencia,0.5,1–1,1.3,Levante,35099,Estadio de Mestalla,Jorge Figueroa,Match Report,
34,Sat,2022-04-30,21:00 (20:00),Athletic Club,1.3,2–0,0.7,Atlético Madrid,43398,San Mamés,Antonio Matéu Lahoz,Match Report,
34,Sun,2022-05-01,14:00 (13:00),Elche,0.6,1–1,1.1,Osasuna,16305,Estadio Manuel Martínez Valero,Carlos del Cerro,Match Report,
34,Sun,2022-05-01,16:15 (15:15),Granada,0.7,1–1,1.1,Celta Vigo,15036,Estadio Nuevo Los Cármenes,Juan Martínez,Match Report,
34,Sun,2022-05-01,18:30 (17:30),Rayo Vallecano,1.4,1–1,0.7,Real Sociedad,9395,Estadio del Rayo Vallecano,Alejandro Muñíz,Match Report,
34,Sun,2022-05-01,21:00 (20:00),Barcelona,1.2,2–1,1.0,Mallorca,62789,Camp Nou,Pablo González,Match Report,
34,Mon,2022-05-02,21:00 (20:00),Getafe,0.7,0–0,0.2,Betis,9916,Coliseum Alfonso Pérez,Adrián Cordero,Match Report,
,,,,,,,,,,,,,
35,Fri,2022-05-06,21:00 (20:00),Levante,2.1,2–1,2.1,Real Sociedad,17278,Estadio Ciudad de Valencia,Alberola Rojas,Match Report,
35,Sat,2022-05-07,14:00 (13:00),Mallorca,1.4,2–6,1.6,Granada,18466,Iberostar Estadi,Ricardo de Burgos,Match Report,
35,Sat,2022-05-07,16:15 (15:15),Athletic Club,1.3,0–0,0.1,Valencia,41091,San Mamés,Isidro Díaz de Mera,Match Report,
35,Sat,2022-05-07,18:30 (17:30),Cádiz,1.8,3–0,0.1,Elche,17615,Estadio Nuevo Mirandilla,Alejandro Hernández,Match Report,
35,Sat,2022-05-07,18:30 (17:30),Celta Vigo,1.9,4–0,0.5,Alavés,10567,Estadio de Balaídos,Guillermo Cuadra,Match Report,
35,Sat,2022-05-07,21:00 (20:00),Betis,0.7,1–2,1.2,Barcelona,46132,Estadio Benito Villamarín,Antonio Matéu Lahoz,Match Report,
35,Sun,2022-05-08,14:00 (13:00),Getafe,0.6,0–0,0.7,Rayo Vallecano,10125,Coliseum Alfonso Pérez,Mario Melero,Match Report,
35,Sun,2022-05-08,16:15 (15:15),Villarreal,2.2,1–1,0.8,Sevilla,17461,Estadio de la Cerámica,Jesús Gil,Match Report,
35,Sun,2022-05-08,18:30 (17:30),Espanyol,0.6,1–1,0.6,Osasuna,18903,RCDE Stadium,Santiago Jaime,Match Report,
35,Sun,2022-05-08,21:00 (20:00),Atlético Madrid,2.3,1–0,1.1,Real Madrid,63874,Estadio Wanda Metropolitano,César Soto,Match Report,
,,,,,,,,,,,,,
36,Tue,2022-05-10,19:00 (18:00),Valencia,1.2,0–3,1.6,Betis,28091,Estadio de Mestalla,Carlos del Cerro,Match Report,
36,Tue,2022-05-10,20:00 (19:00),Granada,0.9,1–0,0.3,Athletic Club,16638,Estadio Nuevo Los Cármenes,José Sánchez,Match Report,
36,Tue,2022-05-10,21:30 (20:30),Barcelona,1.1,3–1,0.7,Celta Vigo,55899,Camp Nou,Miguel Ángel Ortiz Arias,Match Report,
36,Wed,2022-05-11,19:00 (18:00),Osasuna,0.6,1–1,0.3,Getafe,17850,Estadio El Sadar,Alejandro Muñíz,Match Report,
36,Wed,2022-05-11,19:00 (18:00),Alavés,2.6,2–1,0.9,Espanyol,12729,Estadio de Mendizorroza,Valentín Pizarro,Match Report,
36,Wed,2022-05-11,20:30 (19:30),Sevilla,1.5,0–0,0.6,Mallorca,33242,Estadio Ramón Sánchez Pizjuán,Alejandro Hernández,Match Report,
36,Wed,2022-05-11,21:30 (20:30),Elche,0.2,0–2,1.9,Atlético Madrid,21266,Estadio Manuel Martínez Valero,Pablo González,Match Report,
36,Thu,2022-05-12,19:00 (18:00),Real Sociedad,3.0,3–0,0.7,Cádiz,29014,Estadio Municipal de Anoeta,Juan Martínez,Match Report,
36,Thu,2022-05-12,20:00 (19:00),Rayo Vallecano,1.8,1–5,2.4,Villarreal,7945,Estadio del Rayo Vallecano,Isidro Díaz de Mera,Match Report,
36,Thu,2022-05-12,21:30 (20:30),Real Madrid,3.5,6–0,1.0,Levante,38421,Estadio Santiago Bernabéu,Adrián Cordero,Match Report,
,,,,,,,,,,,,,
37,Sat,2022-05-14,18:30 (17:30),Espanyol,0.7,1–1,1.6,Valencia,14990,RCDE Stadium,Alejandro Muñíz,Match Report,
37,Sun,2022-05-15,19:30 (18:30),Levante,1.9,3–1,0.5,Alavés,12438,Estadio Ciudad de Valencia,Guillermo Cuadra,Match Report,
37,Sun,2022-05-15,19:30 (18:30),Villarreal,0.7,1–2,2.1,Real Sociedad,16689,Estadio de la Cerámica,Pablo González,Match Report,
37,Sun,2022-05-15,19:30 (18:30),Getafe,0.3,0–0,0.2,Barcelona,13072,Coliseum Alfonso Pérez,Jesús Gil,Match Report,
37,Sun,2022-05-15,19:30 (18:30),Athletic Club,1.1,2–0,0.9,Osasuna,37869,San Mamés,Jorge Figueroa,Match Report,
37,Sun,2022-05-15,19:30 (18:30),Atlético Madrid,1.2,1–1,0.7,Sevilla,58138,Estadio Wanda Metropolitano,José Sánchez,Match Report,
37,Sun,2022-05-15,19:30 (18:30),Betis,2.3,2–0,1.1,Granada,45016,Estadio Benito Villamarín,Ricardo de Burgos,Match Report,
37,Sun,2022-05-15,19:30 (18:30),Celta Vigo,2.1,1–0,0.5,Elche,10773,Estadio de Balaídos,Mario Melero,Match Report,
37,Sun,2022-05-15,19:30 (18:30),Mallorca,0.8,2–1,1.2,Rayo Vallecano,17930,Iberostar Estadi,José Luis Munuera,Match Report,
37,Sun,2022-05-15,19:30 (18:30),Cádiz,2.7,1–1,1.6,Real Madrid,19643,Estadio Nuevo Mirandilla,Antonio Matéu Lahoz,Match Report,
,,,,,,,,,,,,,
38,Fri,2022-05-20,21:00 (20:00),Real Madrid,1.2,0–0,0.9,Betis,52232,Estadio Santiago Bernabéu,Santiago Jaime,Match Report,
38,Fri,2022-05-20,21:00 (20:00),Rayo Vallecano,2.5,2–4,2.5,Levante,8446,Estadio del Rayo Vallecano,Mario Melero,Match Report,
38,Sat,2022-05-21,17:30 (16:30),Valencia,1.5,2–0,0.9,Celta Vigo,16189,Estadio de Mestalla,Adrián Cordero,Match Report,
38,Sun,2022-05-22,17:30 (16:30),Elche,2.7,3–1,1.3,Getafe,17336,Estadio Manuel Martínez Valero,Guillermo Cuadra,Match Report,
38,Sun,2022-05-22,20:00 (19:00),Osasuna,0.8,0–2,1.2,Mallorca,18717,Estadio El Sadar,César Soto,Match Report,
38,Sun,2022-05-22,20:00 (19:00),Granada,1.7,0–0,0.3,Espanyol,17951,Estadio Nuevo Los Cármenes,Alejandro Hernández,Match Report,
38,Sun,2022-05-22,20:00 (19:00),Alavés,0.4,0–1,1.8,Cádiz,11138,Estadio de Mendizorroza,José Sánchez,Match Report,
38,Sun,2022-05-22,22:00 (21:00),Barcelona,0.6,0–2,0.8,Villarreal,54850,Camp Nou,José Luis Munuera,Match Report,
38,Sun,2022-05-22,22:00 (21:00),Sevilla,1.2,1–0,0.7,Athletic Club,31305,Estadio Ramón Sánchez Pizjuán,Carlos del Cerro,Match Report,
38,Sun,2022-05-22,22:00 (21:00),Real Sociedad,2.5,1–2,0.7,Atlético Madrid,23586,Estadio Municipal de Anoeta,Jesús Gil,Match Report,